,Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
1440,40,0,15,1,5,2,1,57,58,66,2,5,8,43,13,2
1441,55,1,10,0,0,1,0,27,74,91,1,1,2,13,1,1
1442,41,2,12,2,6,2,2,22,92,36,1,0,4,20,6,1
1443,48,0,12,5,13,2,1,67,44,80,1,1,1,39,9,0
1444,53,0,0,1,2,2,0,54,37,93,1,1,5,42,9,0
1445,38,1,16,2,9,1,2,15,55,74,1,1,4,11,5,1
1446,29,0,5,1,1,2,0,85,36,65,2,4,9,44,6,0
1447,53,1,13,5,14,1,0,16,77,37,1,0,0,15,9,2
1448,58,0,8,2,9,0,2,88,20,44,2,2,13,72,24,2
1449,51,0,3,2,6,0,0,30,64,89,1,2,4,21,2,1
1450,31,2,5,7,21,0,2,49,38,32,1,0,5,23,5,1
1451,46,3,3,2,6,0,1,40,60,55,1,1,5,38,6,1
1452,47,0,12,7,21,2,0,76,28,24,2,3,6,47,20,0
1453,30,0,5,2,9,2,0,94,3,94,2,2,5,73,25,0
1454,23,0,2,2,6,1,1,63,51,55,2,2,6,35,10,2
1455,37,2,14,2,9,0,1,26,70,79,1,0,4,16,5,1
1456,37,0,0,5,14,2,1,22,65,31,1,2,5,19,3,2
1457,51,2,14,2,9,2,0,70,21,40,2,2,11,63,28,0
1458,55,1,15,4,4,1,0,92,0,72,0,7,18,55,52,0
1459,34,0,12,3,3,1,1,63,33,72,2,4,6,55,15,2
1460,47,2,1,3,3,2,0,21,76,68,1,0,4,14,0,1
1461,24,2,3,2,11,2,1,27,81,81,1,2,1,17,4,1
1462,47,2,6,7,12,1,0,66,33,41,2,5,6,50,22,0
1463,22,2,1,4,23,2,0,41,45,75,1,0,3,32,9,2
1464,30,0,8,4,23,2,1,31,70,71,1,1,2,25,2,1
1465,54,1,11,4,23,2,1,14,76,21,1,0,1,6,5,1
1466,47,0,1,2,11,1,0,81,23,95,2,5,14,70,27,0
1467,48,0,4,3,18,2,1,42,65,48,1,1,1,39,3,2
1468,50,2,3,5,14,0,0,78,5,90,2,2,10,44,24,0
1469,29,0,4,5,14,1,2,65,27,50,2,2,11,30,22,2
1470,21,0,0,5,14,1,0,81,25,20,0,8,22,75,49,0
1471,52,2,12,4,4,2,0,77,7,36,2,2,5,75,6,0
1472,53,0,11,4,4,1,0,11,99,86,1,0,3,9,3,1
1473,45,0,8,1,2,0,0,83,18,88,2,5,11,61,11,0
1474,53,1,5,1,5,2,1,70,35,44,2,2,9,34,16,0
1475,36,0,8,0,16,1,1,78,35,53,2,5,12,52,12,2
1476,49,0,12,3,8,0,0,50,50,93,1,2,5,37,2,2
1477,50,2,0,4,4,1,2,63,33,85,2,4,7,52,9,2
1478,39,0,17,6,17,1,0,11,96,76,1,1,3,9,7,1
1479,44,0,9,1,2,0,0,71,33,80,2,2,14,36,28,0
1480,60,2,10,6,17,1,0,19,72,88,1,1,4,17,3,1
1481,42,2,11,3,3,0,2,28,68,62,1,0,1,18,0,1
1482,51,2,11,5,15,1,0,68,34,32,2,2,12,35,20,0
1483,33,3,6,1,5,0,0,62,27,79,2,3,8,31,9,2
1484,60,1,5,1,1,0,0,71,35,67,2,4,10,67,11,0
1485,26,2,5,6,7,2,1,94,11,42,0,8,18,52,44,0
1486,40,2,10,0,16,1,0,72,40,91,2,5,12,71,12,2
1487,55,0,10,7,10,1,1,94,29,60,0,8,16,43,38,0
1488,44,1,8,2,11,1,0,58,51,67,2,3,9,51,17,2
1489,25,0,4,6,19,1,2,86,0,72,2,5,12,82,29,0
1490,56,0,12,0,16,0,1,55,62,78,2,3,5,33,19,1
1491,36,0,7,5,13,2,1,37,60,50,1,1,0,21,0,2
1492,60,0,20,2,9,2,2,67,27,55,2,3,9,31,15,1
1493,55,2,4,5,15,1,0,90,3,69,0,8,24,68,37,0
1494,33,0,10,5,13,2,0,36,52,46,1,0,3,20,4,2
1495,42,3,16,1,1,2,1,12,78,84,1,0,1,6,8,1
1496,33,0,7,7,10,2,1,52,42,78,1,2,0,47,1,2
1497,42,1,6,5,13,1,1,78,23,43,2,2,9,45,10,0
1498,52,1,9,2,6,1,0,79,42,24,2,4,7,65,13,0
1499,54,2,12,2,11,0,0,62,36,99,1,2,4,35,5,2
1500,37,0,3,2,6,1,2,51,50,26,2,3,10,27,24,1
1501,26,0,5,0,22,2,1,83,15,98,0,6,15,58,30,2
1502,28,0,7,7,21,1,1,38,57,63,1,2,5,19,1,1
1503,32,0,5,2,6,1,0,26,68,73,1,0,4,18,7,1
1504,51,1,11,5,13,2,0,52,45,41,1,1,2,49,6,0
1505,26,2,4,7,21,1,2,22,70,83,1,0,4,21,4,1
1506,45,1,5,4,20,1,1,56,48,63,2,4,9,26,11,2
1507,58,3,14,1,5,1,0,41,51,78,1,1,1,40,0,2
1508,48,1,6,5,13,2,0,51,51,89,1,0,3,38,2,0
1509,52,2,11,0,0,0,0,11,88,31,1,1,5,8,8,1
1510,60,2,7,4,23,0,0,61,43,36,2,4,13,42,5,0
1511,42,2,13,3,8,2,1,57,35,54,2,4,9,31,17,2
1512,33,2,12,1,2,2,2,81,23,38,2,3,8,53,16,2
1513,49,1,10,4,4,1,1,91,12,94,2,2,10,62,13,0
1514,54,0,15,0,22,1,1,54,31,85,1,0,5,53,4,2
1515,38,0,13,7,10,1,1,64,34,47,2,5,11,57,7,0
1516,59,0,7,7,10,0,0,22,82,64,1,1,2,19,3,1
1517,31,3,9,4,23,1,0,54,40,55,1,2,3,33,0,2
1518,39,0,5,0,0,1,0,74,20,66,2,4,10,66,16,0
1519,28,0,4,0,16,1,2,65,19,72,2,4,10,30,10,1
1520,57,0,9,2,6,1,2,71,40,76,2,2,7,61,27,1
1521,40,1,9,4,23,0,1,52,43,66,1,1,3,37,4,2
1522,23,0,2,3,18,1,1,64,34,71,2,3,12,42,24,2
1523,32,2,11,1,2,2,0,88,24,86,2,4,12,50,29,0
1524,55,0,5,4,20,1,1,26,69,88,1,2,0,22,2,1
1525,57,0,8,1,1,0,1,57,24,67,2,3,11,55,29,0
1526,23,1,2,4,23,1,0,47,57,34,1,2,4,40,2,0
1527,34,0,5,3,3,1,0,55,21,55,1,1,4,40,7,0
1528,27,0,6,6,7,1,1,44,59,34,2,5,7,32,20,2
1529,23,2,2,2,6,1,1,20,63,29,1,0,5,17,2,1
1530,54,0,14,5,14,0,0,84,3,83,2,2,7,50,23,0
1531,49,2,12,5,14,0,0,74,28,70,2,4,7,43,24,0
1532,42,2,0,0,0,1,0,11,80,36,1,1,3,8,4,1
1533,55,0,6,1,5,1,1,40,72,77,1,1,2,35,4,2
1534,39,0,6,2,11,1,1,71,25,72,2,4,8,49,22,2
1535,56,2,1,7,12,1,0,14,86,39,1,0,3,10,4,1
1536,23,0,2,5,13,2,0,63,31,71,2,2,7,51,13,0
1537,44,2,9,6,17,2,0,26,68,73,1,1,4,24,3,1
1538,33,2,8,1,2,2,1,30,82,76,1,1,5,28,7,1
1539,55,1,6,1,1,1,2,65,37,37,1,1,4,38,1,2
1540,28,1,6,6,17,2,2,13,88,30,1,0,4,12,6,1
1541,56,0,14,1,1,2,0,21,88,33,1,2,4,13,8,1
1542,37,2,0,6,7,1,0,63,39,20,2,5,11,37,14,0
1544,28,0,7,3,8,1,1,46,65,38,1,1,1,39,5,2
1545,60,0,6,0,22,2,1,26,76,98,1,2,0,12,5,1
1546,56,0,4,7,12,1,1,52,43,51,2,2,6,47,11,2
1547,44,1,9,2,9,2,0,67,26,57,2,2,14,51,27,0
1548,34,0,13,1,1,2,1,92,21,80,2,4,14,49,26,0
1549,31,0,10,7,10,1,1,67,32,70,2,4,11,51,16,2
1550,29,0,8,1,1,2,1,46,46,75,1,1,2,39,0,2
1551,58,2,11,0,0,0,2,12,81,73,1,0,3,8,5,1
1553,30,2,0,7,10,1,0,72,20,56,2,2,8,47,25,0
1554,53,2,0,2,11,1,0,17,83,82,1,2,1,13,4,1
1555,54,3,0,3,8,2,1,81,30,42,2,3,9,74,24,0
1556,34,1,2,2,9,2,1,81,14,51,2,4,9,53,21,0
1557,43,0,2,0,16,0,0,36,59,37,1,2,4,27,3,2
1558,52,0,3,6,7,2,0,67,39,66,2,3,12,44,17,0
1559,24,2,3,2,9,1,0,51,55,24,1,0,5,34,4,2
1561,24,0,3,1,1,1,0,45,35,84,1,2,1,43,6,2
1562,32,0,11,2,11,2,2,87,8,90,2,3,6,77,18,2
1563,21,1,0,7,21,0,0,25,59,55,1,2,3,21,3,2
1564,32,0,0,7,21,2,0,47,63,31,1,2,2,29,1,0
1566,29,3,8,5,13,2,0,17,90,62,1,0,1,11,8,1
1567,37,2,16,1,1,1,1,27,72,34,1,0,2,25,3,1
1568,50,0,10,5,13,0,0,68,50,34,2,4,5,35,5,0
1569,59,1,10,3,8,2,1,33,71,26,1,1,4,24,4,2
1570,33,2,10,5,14,2,2,43,74,91,1,2,4,30,5,1
1571,39,2,11,6,7,0,1,22,86,29,1,2,2,21,2,1
1572,54,1,13,7,21,1,1,78,18,58,2,4,10,62,12,0
1573,26,2,5,3,18,1,0,65,48,37,1,0,2,64,8,0
1574,30,0,9,4,23,1,0,53,52,50,2,5,6,40,8,0
1575,43,0,13,1,1,1,0,55,53,68,2,3,12,50,11,0
1576,34,0,13,4,4,1,1,67,37,66,2,2,13,34,7,2
1577,45,2,12,1,2,1,1,29,58,38,1,0,2,28,8,1
1578,39,0,6,3,3,0,1,43,43,50,1,2,0,36,7,2
1579,35,2,7,0,22,0,0,57,32,91,1,2,2,28,4,1
1580,37,2,0,7,12,0,1,16,92,53,1,2,3,15,1,1
1581,34,1,4,7,21,1,1,66,22,43,1,0,1,65,5,0
1582,52,0,11,2,9,2,0,90,9,77,2,4,5,54,12,0
1583,60,0,13,1,1,0,1,14,76,50,1,2,4,12,7,1
1585,35,2,9,5,14,0,0,32,66,90,1,0,0,16,1,1
1586,47,1,5,3,18,1,0,60,50,27,2,2,9,31,21,0
1587,58,0,9,7,12,2,2,77,23,79,2,3,5,71,23,2
1588,27,0,6,5,13,0,1,40,62,31,1,2,5,23,6,2
1589,33,0,12,7,21,1,1,26,74,53,1,1,3,17,3,1
1590,42,0,11,7,10,0,0,87,15,67,2,3,11,61,14,0
1591,55,2,8,2,9,2,0,24,71,76,1,2,0,13,6,1
1592,36,0,9,1,5,1,0,56,51,90,2,5,6,50,13,2
1593,21,1,0,1,2,1,1,42,58,59,1,1,1,33,2,2
1594,52,2,6,6,19,1,0,18,89,87,1,2,0,8,4,1
1595,28,2,7,0,0,0,1,84,7,71,2,5,8,46,7,2
1596,57,2,0,1,5,0,1,17,83,40,1,2,5,11,9,1
1597,23,3,2,7,12,1,0,21,63,84,1,1,5,17,7,1
1598,22,3,0,6,19,1,1,25,78,86,1,2,0,14,5,1
1599,55,0,3,6,19,1,1,30,86,91,1,2,3,19,3,1
1600,36,2,0,7,10,2,0,61,58,31,1,2,2,40,7,0
1601,43,1,9,4,4,2,0,20,79,80,1,0,5,16,2,2
1602,56,1,2,3,3,2,0,60,26,23,2,3,12,33,9,0
1603,24,2,3,2,11,1,1,55,35,82,1,0,3,46,9,1
1604,58,0,11,3,8,2,1,47,50,34,2,5,7,35,18,2
1605,47,0,13,2,6,1,2,46,63,94,2,4,12,33,28,1
1606,41,0,12,3,18,1,1,65,32,70,2,2,9,62,6,2
1607,25,2,4,4,23,0,1,65,28,22,2,4,12,53,9,0
1608,36,0,15,5,14,0,1,85,19,52,2,3,12,79,9,0
1609,43,2,12,0,22,0,0,58,36,79,2,4,14,45,11,2
1610,42,2,4,5,13,1,0,35,79,56,1,1,0,15,5,2
1611,54,2,8,1,1,1,1,47,43,72,1,1,5,29,5,2
1612,21,0,0,0,0,0,0,40,69,59,1,0,5,27,4,2
1613,34,0,8,5,13,0,0,72,21,75,2,4,10,56,11,0
1614,25,0,3,1,5,0,1,78,17,41,1,2,4,67,3,0
1615,56,1,10,1,5,0,2,30,60,66,1,0,3,15,9,1
1617,33,0,8,0,22,1,1,17,69,96,1,0,0,9,0,1
1618,32,0,1,4,4,1,1,24,65,94,1,2,5,12,6,1
1620,29,1,1,2,9,1,1,90,17,35,2,3,13,43,10,0
1621,39,0,10,1,2,1,0,60,36,35,2,5,13,43,5,0
1622,50,0,13,1,1,2,1,78,14,43,2,4,11,71,7,0
1623,26,0,0,3,18,1,0,17,83,57,1,1,2,10,1,1
1624,50,2,1,3,18,1,1,20,81,56,1,2,2,15,2,1
1625,53,2,1,3,3,2,0,68,17,74,2,4,11,35,23,0
1626,31,0,10,0,0,2,1,37,77,26,1,0,4,33,3,1
1627,30,2,9,2,11,2,0,15,79,66,1,2,5,14,1,1
1628,23,2,2,3,8,2,1,91,0,32,2,3,9,46,18,0
1629,59,0,9,7,10,1,2,37,66,62,2,3,11,33,13,1
1630,44,2,0,0,22,0,1,76,17,91,2,4,5,48,17,2
1631,49,0,6,7,12,2,0,73,37,21,1,2,4,56,7,0
1632,24,3,3,0,0,2,1,76,21,45,2,3,14,38,20,2
1633,40,3,10,1,2,1,0,77,38,23,2,4,9,40,16,0
1634,27,0,6,0,22,2,2,21,84,75,2,3,10,12,10,1
1635,30,1,9,3,18,1,0,14,83,86,1,2,4,12,0,1
1636,36,0,5,6,7,1,0,38,57,28,1,0,4,21,3,2
1637,47,0,4,3,3,0,2,76,24,34,2,3,8,65,26,2
1638,33,0,7,1,5,0,1,60,38,27,2,4,7,33,27,2
1639,43,2,1,5,15,0,1,73,29,85,2,4,7,38,26,0
1640,28,0,6,0,22,1,0,50,44,83,2,3,7,47,20,2
1641,34,1,13,4,20,2,2,55,56,41,2,5,11,40,13,2
1642,24,2,3,0,22,0,1,35,73,95,1,2,1,17,7,1
1643,34,0,11,5,13,2,1,74,27,94,2,3,10,45,23,0
1644,23,0,2,5,13,0,0,31,68,90,1,0,1,26,6,2
1645,54,2,9,6,17,1,1,44,74,76,1,0,4,41,7,2
1646,55,0,8,0,16,1,2,66,56,44,2,3,12,51,24,1
1647,35,1,7,4,20,0,2,51,51,71,1,1,4,28,3,2
1648,49,2,20,6,19,0,1,82,23,74,2,2,13,48,26,2
1650,35,0,2,3,18,0,2,53,54,30,1,2,1,50,9,2
1651,58,2,9,0,16,1,1,42,84,32,2,3,13,23,15,1
1652,30,2,4,3,3,2,0,52,44,67,2,4,8,37,17,2
1654,53,2,20,7,12,1,1,34,87,34,1,2,2,16,4,1
1655,59,0,17,5,14,1,1,73,30,39,2,4,9,67,12,0
1656,22,0,1,6,7,0,0,90,0,42,2,3,14,83,15,0
1657,24,0,3,6,17,2,1,31,59,80,1,2,4,16,2,1
1658,41,0,14,4,20,0,0,50,46,56,1,1,1,36,5,0
1660,30,0,9,5,14,1,0,58,34,37,1,2,0,29,8,0
1661,40,2,5,3,18,0,1,93,13,43,2,4,9,83,13,0
1662,50,3,7,7,12,1,2,27,96,79,1,1,5,22,0,1
1663,51,0,4,0,0,1,0,89,19,38,2,2,8,54,13,0
1664,57,2,13,1,2,1,1,10,88,80,1,0,0,9,1,1
1665,40,0,15,1,2,2,2,59,32,38,2,4,14,29,24,2
1666,37,2,12,2,6,1,1,15,86,89,1,2,3,13,3,1
1667,34,0,3,7,10,1,0,64,33,83,1,1,4,44,9,0
1668,52,1,18,3,3,1,0,53,53,63,1,1,0,29,9,2
1669,59,0,7,2,11,0,0,31,62,88,1,1,3,27,3,1
1670,32,2,4,5,15,1,0,19,93,35,1,2,5,16,8,1
1671,56,0,2,0,0,1,0,55,39,37,1,1,1,48,9,0
1672,47,1,15,0,0,2,0,66,63,72,1,2,0,47,9,2
1673,24,2,3,4,23,2,0,28,62,37,1,0,0,20,3,2
1674,36,0,7,6,19,0,1,75,39,82,2,5,12,35,9,2
1675,46,0,8,6,19,2,0,79,25,75,2,4,11,69,14,0
1676,28,2,7,1,1,1,0,69,42,79,2,3,11,32,16,2
1677,29,2,8,1,1,1,2,41,57,42,1,1,4,24,5,1
1678,57,0,0,4,23,0,1,11,100,79,1,1,0,9,6,1
1679,51,3,10,0,0,0,2,59,37,69,1,1,3,29,1,1
1680,31,1,7,1,2,1,1,28,66,20,1,1,1,12,2,2
1681,35,2,7,0,22,1,1,27,65,76,1,0,5,14,9,1
1682,50,0,3,4,23,2,2,68,28,63,1,0,0,52,2,2
1683,51,1,1,4,23,1,0,23,70,78,1,2,1,15,8,2
1684,53,0,17,1,1,0,0,14,84,74,1,1,3,7,7,1
1685,41,3,0,2,6,1,0,44,51,56,1,1,1,41,5,2
1686,22,0,1,5,13,1,0,40,65,42,1,1,1,38,0,0
1687,43,2,5,3,18,1,1,46,62,46,1,0,0,29,8,1
1688,33,2,8,0,22,2,0,63,28,96,2,3,13,55,24,2
1689,55,2,16,1,2,2,1,58,39,57,2,5,13,42,7,2
1690,27,0,6,6,17,1,0,87,23,87,0,8,15,51,45,0
1691,47,0,6,7,12,2,0,13,90,78,1,0,3,11,5,1
1692,24,2,3,3,8,0,1,55,36,23,2,2,7,51,27,2
1693,21,2,0,5,15,2,1,55,60,54,1,1,4,41,5,0
1694,49,0,3,2,11,1,0,41,47,68,1,0,2,38,5,2
1695,42,0,1,7,21,0,1,86,0,78,2,5,10,73,24,0
1697,21,2,0,4,20,1,0,63,33,76,2,2,10,31,28,0
1698,30,0,5,2,11,0,1,21,91,67,1,0,0,9,0,1
1699,35,2,10,3,18,0,2,24,62,80,1,0,2,13,2,1
1700,42,1,7,6,19,1,0,66,38,82,2,4,10,39,19,0
1701,33,1,12,6,17,1,1,91,22,25,2,2,8,41,18,0
1702,40,2,12,0,16,2,1,83,12,34,2,2,14,79,24,0
1703,29,2,6,1,2,2,0,60,30,78,2,3,9,52,25,2
1704,29,2,3,5,14,1,1,72,33,31,2,4,6,71,17,0
1705,40,0,17,3,18,1,2,53,42,92,1,1,5,26,3,1
1706,35,2,7,6,7,1,0,59,45,74,1,2,2,56,4,0
1707,57,0,8,4,20,1,0,65,48,84,2,5,11,29,25,2
1708,42,1,11,1,5,0,0,23,86,63,1,0,4,12,6,2
1709,45,1,11,1,1,2,1,87,19,90,0,8,17,73,46,0
1710,57,2,21,4,20,1,1,27,72,25,1,0,3,25,6,1
1711,54,0,4,2,6,1,0,49,62,69,2,4,6,22,29,1
1712,36,1,3,7,12,1,1,78,17,73,0,6,16,42,49,0
1713,25,0,4,7,21,0,1,53,49,31,1,1,0,51,0,2
1714,53,1,7,3,3,0,0,10,84,57,1,1,3,9,7,1
1715,55,0,7,7,10,0,0,37,67,48,1,1,5,25,4,2
1716,48,0,12,0,22,1,1,26,88,75,1,2,5,18,9,1
1717,56,0,10,2,9,0,0,28,60,21,1,1,0,20,5,2
1718,58,2,7,5,15,2,0,30,62,77,1,1,0,29,4,2
1719,51,0,14,2,11,0,0,49,37,71,1,2,0,23,5,2
1720,58,0,1,6,7,1,2,15,100,46,1,0,1,9,3,1
1721,45,0,4,5,15,1,0,49,59,45,2,5,12,25,12,2
1722,52,1,12,7,12,1,2,33,54,92,1,0,0,31,6,1
1723,35,0,6,4,20,1,0,46,61,86,2,4,6,31,8,2
1724,41,0,8,1,5,2,0,37,56,79,1,0,5,20,8,2
1726,27,0,6,7,10,1,0,69,23,62,0,8,21,63,48,0
1727,38,0,4,6,7,2,0,60,36,49,2,4,13,52,12,0
1728,47,2,13,3,3,1,1,58,31,62,2,5,5,33,28,2
1729,21,1,0,0,0,2,1,24,57,85,1,1,3,15,1,1
1730,22,0,1,4,23,2,0,71,30,35,2,5,8,37,24,0
1731,51,0,6,0,0,0,0,57,34,64,2,3,12,34,19,2
1732,41,2,20,5,14,2,2,61,27,62,2,3,5,41,10,1
1733,33,0,10,3,3,2,1,37,45,87,1,2,1,20,8,1
1734,50,2,14,6,19,1,0,41,50,81,1,0,0,25,8,2
1735,44,2,8,5,14,0,1,27,64,58,1,0,0,24,6,1
1736,43,0,3,4,4,2,2,45,48,41,2,2,14,44,27,2
1737,54,2,16,0,16,0,0,20,95,31,1,0,2,19,2,1
1738,34,0,13,6,19,2,0,38,72,86,1,2,4,17,1,2
1739,57,0,11,1,1,0,1,21,68,32,1,2,0,12,2,1
1740,39,0,1,6,17,1,1,33,47,68,1,2,3,17,3,2
1741,25,2,4,3,18,1,2,83,31,40,2,5,14,72,12,2
1742,38,1,5,7,21,1,0,93,19,48,0,5,21,90,32,0
1743,28,0,7,2,11,2,1,15,85,82,1,1,2,9,4,1
1744,24,0,0,6,7,0,2,37,70,26,1,1,4,20,4,2
1745,48,0,12,0,16,2,0,12,88,61,1,0,1,11,5,1
1746,45,1,15,0,16,2,1,14,87,92,1,1,3,7,9,1
1747,35,2,13,3,8,1,2,38,72,85,1,2,4,21,8,1
1748,57,1,10,0,16,1,0,39,64,90,2,2,8,38,25,2
1749,54,2,10,2,6,0,0,44,60,25,1,0,3,28,5,2
1750,51,0,16,6,17,1,1,70,32,25,2,4,10,45,6,0
1751,51,0,13,5,14,1,1,71,31,88,2,3,5,69,9,0
1752,31,2,7,4,20,1,0,24,85,51,1,2,0,19,2,1
1753,38,2,15,1,1,2,2,26,69,92,1,0,2,22,9,1
1754,24,0,3,6,7,1,0,19,81,71,1,0,5,17,0,1
1755,25,2,4,6,19,2,1,57,51,99,2,4,6,48,16,2
1756,53,2,3,4,20,2,2,40,68,75,1,1,5,23,7,1
1757,24,2,3,0,16,1,0,24,70,50,1,0,0,17,9,1
1758,43,0,8,6,19,2,1,79,19,81,2,5,14,75,25,0
1759,48,2,15,0,16,1,1,92,21,47,2,3,7,47,13,2
1760,24,0,3,2,9,1,1,34,67,79,1,2,1,17,3,1
1761,59,1,12,3,18,1,0,51,46,51,1,2,5,39,8,0
1762,27,0,2,2,6,1,0,91,15,36,2,5,12,90,12,0
1763,45,0,10,2,11,2,1,53,57,82,1,0,5,41,2,1
1764,29,0,8,0,22,0,1,77,32,66,2,3,13,36,9,2
1765,46,2,14,0,16,1,0,66,49,44,2,3,9,40,29,2
1766,35,1,3,7,12,2,1,81,5,62,2,5,9,44,5,0
1768,46,0,11,5,15,2,1,24,64,68,1,1,4,12,9,1
1770,60,0,5,7,12,2,1,83,21,68,2,3,13,59,21,0
1771,35,2,11,4,4,0,0,42,57,87,1,2,4,25,7,2
1772,50,0,6,0,22,0,1,58,31,70,1,0,1,38,3,2
1773,21,1,0,0,22,2,0,20,74,92,1,0,4,17,2,1
1774,45,0,5,2,9,1,0,50,56,39,1,0,4,33,8,2
1775,25,2,4,5,13,2,0,31,73,30,1,2,4,25,6,2
1776,44,1,4,5,14,1,2,24,92,25,1,1,5,12,1,1
1777,40,0,8,2,6,0,1,14,80,20,1,0,0,6,4,1
1778,43,1,9,3,8,1,1,59,43,20,1,1,3,38,5,0
1779,21,2,0,7,12,1,0,70,42,52,2,3,13,51,27,0
1780,46,0,11,3,18,1,1,31,85,81,1,1,0,16,2,1
1781,41,1,6,0,16,0,1,28,58,79,1,1,0,14,8,1
1782,54,2,6,6,7,1,1,46,64,71,1,1,0,28,9,1
1783,52,0,9,1,5,1,1,90,27,57,2,4,10,55,6,0
1785,59,0,12,1,1,0,1,14,86,67,1,0,5,11,2,1
1786,54,2,11,0,0,2,2,59,27,71,1,2,1,49,7,1
1787,26,2,0,2,6,1,1,62,48,34,2,4,8,46,21,2
1788,32,0,8,1,2,2,0,82,13,62,2,2,7,39,25,0
1789,43,0,7,0,0,1,1,85,15,88,2,4,14,59,11,2
1790,31,0,2,3,3,1,1,94,17,50,2,5,6,85,21,0
1791,27,0,6,6,19,2,1,73,33,98,2,3,11,72,7,0
1792,31,2,6,1,5,1,2,82,7,24,2,5,9,73,26,0
1793,49,0,7,5,14,2,0,15,100,52,1,0,2,12,5,1
1794,50,2,2,3,18,1,1,58,45,69,1,2,4,54,2,2
1795,58,2,6,7,21,0,1,68,35,32,2,3,13,40,25,2
1796,60,0,7,7,10,1,1,36,60,79,1,0,0,29,2,1
1797,52,2,17,7,21,2,0,41,78,61,1,0,3,28,5,1
1798,51,2,8,7,21,1,1,72,25,70,2,4,8,45,15,2
1800,59,0,0,4,4,1,0,53,40,51,2,4,5,44,21,0
1801,35,0,8,6,19,1,1,39,64,88,1,2,1,19,0,1
1802,48,0,5,4,20,2,1,38,70,93,1,0,5,26,5,1
1803,35,0,12,3,3,1,1,36,81,71,1,2,5,22,2,1
1804,50,0,7,3,3,1,1,19,89,74,1,1,3,10,8,1
1805,53,0,20,5,14,0,1,94,0,29,2,2,7,54,24,0
1806,42,2,7,1,5,2,0,76,26,75,2,3,9,75,16,0
1807,36,0,15,2,9,0,2,11,90,68,1,1,5,10,5,1
1808,25,1,4,2,6,2,0,12,83,42,1,1,2,8,1,1
1809,47,0,4,1,2,0,1,27,69,26,1,2,0,21,1,2
1810,34,0,12,1,5,0,0,29,56,24,1,0,2,14,6,2
1811,50,0,4,4,4,2,0,63,32,40,1,2,5,36,2,0
1812,53,0,18,3,3,2,2,61,38,80,2,2,14,57,25,1
1813,59,0,12,2,6,1,2,59,28,43,2,2,14,34,14,1
1814,23,0,1,7,10,0,1,69,13,43,2,3,7,67,11,0
1815,50,2,13,3,18,1,1,61,44,76,2,2,5,52,13,2
1816,54,0,12,0,22,2,0,34,82,86,1,1,3,17,1,1
1817,28,0,7,6,17,2,2,56,40,20,1,0,1,33,9,2
1819,43,1,13,5,15,0,1,37,67,76,2,5,5,30,24,2
1820,38,0,9,6,19,0,2,50,56,65,2,4,10,31,7,1
1821,55,2,0,3,3,1,1,51,40,55,1,2,5,26,0,2
1822,46,2,4,4,20,1,0,33,78,57,2,5,11,32,5,2
1823,29,0,8,3,3,2,1,72,13,41,1,0,2,51,1,0
1824,53,0,11,3,3,1,1,64,24,94,2,2,10,62,25,2
1825,40,0,2,1,5,1,0,49,37,79,1,0,2,26,9,0
1826,41,0,6,4,20,2,2,23,79,93,1,2,0,18,6,1
1827,36,1,11,1,1,1,1,42,69,30,1,0,3,39,2,2
1828,39,1,0,6,19,0,0,65,19,86,1,2,3,33,0,0
1829,57,0,12,5,14,2,1,92,7,62,2,3,7,82,20,0
1830,23,0,2,4,20,1,1,75,22,82,2,3,10,60,23,0
1831,24,1,3,5,15,1,0,37,55,49,1,0,0,33,1,0
1832,42,0,7,4,23,1,0,53,68,82,2,5,6,36,24,2
1833,26,0,5,5,14,1,0,74,23,25,2,4,13,58,9,0
1834,54,0,4,7,10,1,2,55,54,23,1,2,0,42,7,2
1835,52,0,10,0,0,1,0,14,85,72,1,2,4,10,9,1
1836,45,2,19,0,22,1,0,80,17,88,2,2,14,71,18,2
1837,23,2,2,4,20,0,1,27,79,24,1,0,4,13,3,1
1838,38,2,6,5,15,1,0,34,59,28,1,1,1,33,9,2
1839,52,0,16,4,23,0,0,33,71,58,1,1,2,26,8,2
1840,43,1,7,6,17,1,1,41,54,49,1,2,3,40,7,2
1841,23,2,2,3,18,2,2,80,31,68,2,2,13,48,13,2
1842,48,0,3,1,1,1,1,47,69,22,1,1,4,39,5,2
1843,49,2,8,0,16,1,1,79,5,50,2,2,9,50,7,2
1844,23,2,2,7,12,1,0,87,20,61,2,5,9,65,19,0
1845,33,0,10,6,7,1,0,27,80,63,1,1,4,16,0,2
1846,25,0,4,3,3,1,0,45,50,44,2,3,9,32,15,2
1847,23,2,2,7,12,1,0,57,34,59,1,1,5,44,2,0
1848,25,1,4,4,4,0,1,74,15,27,2,4,14,33,20,0
1849,23,0,2,6,17,2,0,60,53,32,1,1,4,58,4,0
1850,21,2,0,5,14,1,0,11,60,68,1,0,4,8,3,2
1851,55,2,7,7,12,0,0,27,81,58,1,1,4,20,5,1
